scouter,eventCode,matchLevel,matchNumber,robot,teamNumber,as,asg,acc,acs,am,ad,tct,tsg,tfc,wf,wd,who,lnk,fpu,dt,fs,dn,ds,ls,dr,sd,sr,die,tip,dc,all,co,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
CWS,2023inmish,qm,11,b1,3147,[26],[7],1,0,1,x,"[12.0,13.9]","[9,5]",0,1,1,,0,,5,e,3,2,0,e,1,4,0,1,0,0,Arm got caught in the drop off station,,,,,,,,
AMB,2023inmish,qm,12,b2,2866,[26],[26],1,0,1,x,[],"[26,24]",0,0,0,,0,1,0,e,2,0,0,x,0,1,0,1,0,0,Very slow and unprecise ,,,,,,,,
KSG,2023inmish,qm,12,b3,5402,[10],[1],1,0,1,x,[],[3],0,0,0,,0,3,0,x,1,-1,0,x,0,3,1,0,0,0,,,,,,,,,
CJN,2023inmish,qm,12,r2,2909,[59],[],0,0,0,x,"[39.2,56.9]",[23],0,0,0,,0,1,45.2,a,0,0,0,x,0,1,0,0,0,0,,,,,,,,,
SGG,2023inmish,qm,12,b1,328,[38],[],0,0,1,d,[],"[32,8,30]",0,1,0,,0,2,17.8,e,2,2,0,x,0,4,0,0,0,1,,,,,,,,,
LJP,2023inmish,qm,12,b3,5402,[62],[],0,0,1,x,[],"[1,3]",0,0,0,,1,3,0,x,1,2,0,a,1,4,1,0,0,0,Browned out,,,,,,,,
CRU,2023inmish,qm,12,b2,2867,[26],[],0,0,1,x,[22.9],[9],0,0,0,,1,0,0,e,2,1,1,x,0,3,0,0,1,0,,,,,,,,,
JLD ,2023inmish,qm,12,r3,9119,[62],[],0,0,0,d,[],[],0,0,1,,0,0,0,x,0,,0,x,0,1,1,0,0,0,,,,,,,,,
C.M.C,2023inmish,qm,12,r2,2909,[47],[],0,0,0,x,"[17.8,10.8,43.6]",[],0,0,0,,0,1,0,x,0,0,0,x,0,1,0,0,1,0,Not good at picking up game pieces,,,,,,,,
BW,2023inmish,qm,12,r3,9119,[35],[],0,0,0,x,[],[],0,0,0,,0,0,21.8,x,0,-1,0,x,0,3,1,0,0,0,Died at the start of match 12,,,,,,,,
WS,2023inmish,qm,12,r1,6956,[71],[],1,1,1,x,[],[8],0,1,0,,0,0,0,a,0,1,0,x,0,3,0,1,0,0,,,,,,,,,
CJN,2023inmish,qm,13,r2,4982,[59],[],0,0,0,x,[4.3],[14],0,0,0,,0,0,0,x,0,0,0,x,0,3,1,0,0,0,,,,,,,,,
C.M.C,2023inmish,qm,13,r2,4982,[59],[],0,0,0,x,[],[],0,0,0,,0,0,0,x,1,,0,x,0,3,1,0,0,0,Died seconds into teleop,,,,,,,,
SGG,2023inmish,qm,13,b1,3865,[62],[],1,0,1,x,[],[],0,0,0,,0,0,0,p,0,0,0,x,0,1,1,0,0,0,,,,,,,,,
TJM,2023inmish,qm,13,b2,7477,[38],[],0,0,1,x,[],[],0,0,0,,0,,0,x,0,0,0,x,0,2,0,0,0,0,Gripper broke,,,,,,,,
CWS,2023inmish,qm,13,b1,3865,[62],[],1,0,1,x,[],[],0,0,0,,0,0,0,x,0,-1,0,x,0,3,1,0,0,0,Did not move after auto,,,,,,,,
JP,2023inmish,qm,13,b2,7477,[50],[],0,0,1,x,[7.7],[],0,0,0,,0,2,0,a,0,0,0,b,0,1,0,0,0,0,"Slow, failed to pick up game pieces",,,,,,,,
CAH,2023inmish,qm,13,r3,1018,[35],[11],0,0,1,x,[],"[12,10,13]",0,0,0,,0,1,0,e,2,2,0,a,0,3,0,0,1,1,,,,,,,,,
JIH,2023inmish,qm,13,r1,135,[71],[8],0,0,1,x,"[17.9,9.9]","[17,18]",0,0,0,,1,3,12.8,d,2,1,1,g,0,3,0,0,0,1,Pretty nice arm+intake,,,,,,,,
AMB,2023inmish,qm,13,b2,7477,[38],[],0,0,0,x,[],[],0,0,0,,0,,0,a,0,0,0,b,0,1,0,1,1,0,"Very slow, never scored",,,,,,,,
WC,2023inmish,qm,13,b3,9071,[26],[],0,0,1,x,"[57.7,28.9]","[17,35,34]",0,0,1,1018,0,2,0,x,0,0,0,x,0,1,0,1,1,0,Seemed not to work,,,,,,,,
LJP,2023inmish,qm,13,b3,9071,[38],[],0,0,0,x,[],"[17,35]",0,0,0,135,0,2,0,x,1,0,0,b,0,1,0,1,0,0,BAD,,,,,,,,
COJ,2023inmish,qm,14,b1,45,[26],[],0,1,1,x,[67.5],[27],0,1,0,,0,1,25,a,2,1,0,x,0,5,0,1,1,0,,,,,,,,,
St cr,2023inmish,qm,14,b3,1555,[62],[],0,0,0,x,[],[],0,0,0,,0,0,21.2,e,2,1,0,e,0,3,0,0,0,0,,,,,,,,,
